codigo,nome,populacao,idhm,rdpc,seca,enchente,calor,ameaca,capacidade,peso,cluster,arquetipo,ameaca_futura,tendencia
2919306,Lençóis,11586,0.623,362.74,0.27838538106089133,0.7518221209141301,0.047626943863313786,0.02018300301284451,0.623,7.306605326813617e-05,1,Enchente / chuva extrema (moderada),0.0,Estavel
2919405,Licínio de Almeida,12357,0.621,299.47,0.6977885401694638,0.3777982300281614,0.5140744832818313,0.7455388762477907,0.621,0.0027076754376903363,2,Seca (sertao) (moderada),0.8361325450256982,Estavel
2919504,Livramento de Nossa Senhora,46372,0.611,309.16,0.5730565040374855,0.32779115718830676,0.7002759188702514,0.779692816758163,0.611,0.0028780625849120565,2,Seca (sertao) (moderada),0.8245545976594985,Estavel
2919553,Luís Eduardo Magalhães,92671,0.716,871.12,0.8101902025900972,0.35401257306404293,0.352391965828066,0.7645878425579471,0.716,0.002408420286281116,3,Enchente / chuva extrema (baixa),0.5917188284118022,Estavel
2919603,Macajuba,11318,0.524,197.25,0.8074191466571136,0.22709891204852792,0.7705243505834228,1.0,0.524,0.00430414232586414,2,Seca (sertao) (moderada),1.0,Estavel
2919702,Macarani,19056,0.605,350.25,0.48139962136484815,0.4751618767693269,0.4581833050733903,0.5160772316452725,0.605,0.001923876701846192,0,Seca (sertao) (baixa),0.39782648896780703,Estavel
2919801,Macaúbas,50481,0.609,255.36,0.5994871853880321,0.3290901952180143,0.5410607846358215,0.7274795207330483,0.609,0.00269414763170199,2,Seca (sertao) (moderada),0.7792714736569889,Estavel
2919900,Macururé,7752,0.604,240.32,0.7081015607754042,0.18883638045702175,0.33200528014822595,0.8036427998816202,0.604,0.003000848222979368,0,Seca (sertao) (baixa),0.5036427998816202,Melhorando
2919926,Madre de Deus,21754,0.708,517.74,0.15371788357684082,0.6431665365557341,0.1528713472910551,0.05987706498024928,0.708,0.00019074148403746383,3,Enchente / chuva extrema (baixa),0.0,Estavel
2919959,Maetinga,2386,0.538,268.47,0.5975381708924805,0.33779954001446644,0.7714579028428974,0.8190490209133614,0.538,0.0034335670340600185,2,Seca (sertao) (moderada),0.840842018218427,Estavel
2920007,Maiquinique,10294,0.576,306.24,0.45180055791679263,0.4937236176245247,0.44829526120931146,0.4801329735849119,0.576,0.0018799961501953302,0,Seca (sertao) (baixa),0.4254297974016453,Estavel
2920106,Mairi,18535,0.572,286.58,0.8112124278501756,0.2659271187257461,0.6718800783958794,0.9626296705242262,0.572,0.0037956060089770114,2,Seca (sertao) (moderada),1.0,Estavel
2920205,Malhada,16875,0.562,218.66,0.7514547047882556,0.40737895084376446,0.5686834151917659,0.7830811488231509,0.562,0.003142594633152464,2,Seca (sertao) (moderada),0.940100980407391,Estavel
2920304,Malhada de Pedras,8326,0.578,244.02,0.5995893063149786,0.3633543875846962,0.9201949599362632,0.8666187546549016,0.578,0.0033815682391765823,2,Seca (sertao) (moderada),0.9107429003374882,Estavel
2920403,Manoel Vitorino,12944,0.566,226.95,0.4751789655431043,0.21456603195220264,0.47722835162853333,0.6989302214425778,0.566,0.0027850647668600285,0,Seca (sertao) (baixa),0.6788746123306164,Estavel
2920452,Mansidão,13822,0.599,182.65,0.934770940408096,0.30052877365335173,0.4209280837830581,0.9105218926028398,0.599,0.0034283210148360103,2,Seca (sertao) (moderada),0.7139207799917205,Estavel
2920502,Maracás,19973,0.607,290.11,0.43246325834423005,0.13417013884414017,0.4523610861623681,0.716002663879089,0.607,0.0026603811242529394,0,Seca (sertao) (baixa),0.7230556266831839,Estavel
2920601,Maragogipe,44902,0.621,300.1,0.2504732404682724,0.3140647831659038,0.2647174233340066,0.3955162052840509,0.621,0.0014364502621861594,0,Seca (sertao) (baixa),0.11692766427433376,Estavel
2920700,Maraú,20664,0.593,437.51,0.15111667441966248,0.7732061144871661,0.34269345288665926,0.05044149510220143,0.593,0.0001918453018580254,1,Enchente / chuva extrema (moderada),0.0661452244343791,Estavel
2920809,Marcionílio Souza,10357,0.561,201.52,0.5336013349602495,0.2676517742241515,0.47437726684650444,0.6987680337160106,0.561,0.0028092350527915175,0,Seca (sertao) (baixa),0.6524149629468243,Estavel
2920908,Mascote,13619,0.581,272.97,0.2884204998268095,0.6058964607828384,0.47186485179668797,0.3085762001789181,0.581,0.0011978548763973656,1,Enchente / chuva extrema (moderada),0.6085762001789181,Agravando
2921005,Mata de São João,47643,0.668,451.9,0.23991305929672718,0.6380751878051925,0.1739799501032163,0.12768382004497036,0.668,0.0004310992980721473,3,Enchente / chuva extrema (baixa),0.0,Estavel
2921054,Matina,12359,0.572,227.07,0.7364058380668226,0.3866337180793156,0.46709163460719577,0.7440952660365582,0.572,0.002933934564349822,2,Seca (sertao) (moderada),0.8692654854836965,Estavel
2921104,Medeiros Neto,22741,0.625,392.49,0.29483509510214456,0.6449564275972768,0.35710386769268176,0.23670018187458525,0.625,0.0008541546018966058,1,Enchente / chuva extrema (moderada),0.5367001818745852,Agravando
2921203,Miguel Calmon,25771,0.586,279.05,0.837427082936316,0.41005956970989377,0.47392026918588365,0.7957323146693538,0.586,0.003062578926737429,2,Seca (sertao) (moderada),0.9219908110852438,Estavel
2921302,Milagres,10838,0.622,313.88,0.40312236727268913,0.2527410280314329,0.3012884039223223,0.5511158328035457,0.622,0.0019983447504661887,0,Seca (sertao) (baixa),0.3715222259100208,Estavel
2921401,Mirangaba,18603,0.542,193.47,0.8435314723075656,0.30351642472928403,0.44515333029219284,0.860361753865392,0.542,0.0035801376139338956,2,Seca (sertao) (moderada),0.8913305847363501,Estavel
2921450,Mirante,8264,0.527,208.18,0.5181818104216163,0.2563553019138521,0.5544579703839408,0.7309643092941082,0.527,0.0031282645110062624,0,Seca (sertao) (baixa),0.7106271081231285,Estavel
2921500,Monte Santo,49145,0.506,197.43,0.6698791504044554,0.23781721826837735,0.6885670861496728,0.8984408748135491,0.506,0.004004579280243902,2,Seca (sertao) (moderada),0.9752074099089608,Estavel
2921609,Morpará,8476,0.558,224.53,0.8995903088493289,0.3373392213959477,0.7621475801834002,1.0,0.558,0.004041882757621522,2,Seca (sertao) (moderada),1.0,Estavel
2921708,Morro do Chapéu,35466,0.588,250.88,0.8157205330321284,0.3597703732299305,0.4326269466751121,0.7985893658552993,0.588,0.0030631206807056215,2,Seca (sertao) (moderada),0.7807703519233199,Estavel
2921807,Mortugaba,12063,0.618,330.3,0.6467729798330741,0.3545849776239076,0.605036479476925,0.7677487621186281,0.618,0.002801873737793274,2,Seca (sertao) (moderada),0.8207257883928197,Estavel
2921906,Mucugê,8725,0.606,312.35,0.44071650450078087,0.2595625024544826,0.42453054108323074,0.6233868660099773,0.606,0.0023200798626729744,0,Seca (sertao) (baixa),0.6170364581409427,Estavel
2922003,Mucuri,42729,0.665,546.41,0.4384480823105825,0.676196935487964,0.2716338553405144,0.27071110615178706,0.665,0.0009181261115133371,3,Enchente / chuva extrema (baixa),0.27325543492686843,Estavel
2922052,Mulungu do Morro,10469,0.566,199.94,0.5762072317793138,0.48536681699043943,0.32846311354627483,0.5142451855603518,0.566,0.002049140391834093,0,Seca (sertao) (baixa),0.4068124417246488,Estavel
2922102,Mundo Novo,27153,0.59,346.89,0.7896991079572381,0.2660799416311916,0.7033106046121563,0.9622083212332687,0.59,0.0036781971836282144,2,Seca (sertao) (moderada),0.9684810916019484,Estavel
2922201,Muniz Ferreira,7464,0.617,297.78,0.23986607617131817,0.4889837594865807,0.23601021124263927,0.2564744895624633,0.617,0.0009375121846998773,1,Enchente / chuva extrema (moderada),0.021460982412153218,Estavel
